timestamp,type,total
2025-03-25 15:11:00+00:00,card,8.7
2025-03-25 15:30:00+00:00,card,10.8
2025-03-25 15:42:00+00:00,card,7.0
2025-03-25 15:43:00+00:00,card,7.0
2025-03-25 15:50:00+00:00,card,-7.0
2025-03-25 16:08:00+00:00,card,7.0
2025-03-25 16:16:00+00:00,card,7.0
2025-03-25 16:18:00+00:00,card,7.0
2025-03-25 16:31:00+00:00,card,7.0
2025-03-25 16:42:00+00:00,card,-7.0
2025-03-25 16:58:00+00:00,card,7.0
2025-03-25 17:09:00+00:00,card,7.0
2025-03-25 17:22:00+00:00,card,7.0
2025-03-25 17:34:00+00:00,card,9.5
2025-03-25 17:37:00+00:00,card,7.0
2025-03-25 17:53:00+00:00,cash,8.6
