timestamp,type,total
2025-03-26 09:10:00+00:00,cash,NULL
2025-03-26 09:21:00+00:00,cash,-4.99
2025-03-26 09:25:00+00:00,cash,5.99
2025-03-26 09:48:00+00:00,cash,6.99
2025-03-26 10:00:00+00:00,cash,4.99
2025-03-26 10:24:00+00:00,cash,5.99
2025-03-26 10:30:00+00:00,cash,4.99
2025-03-26 10:55:00+00:00,cash,5.99
2025-03-26 11:02:00+00:00,cash,5.99
2025-03-26 11:07:00+00:00,cash,6.99
2025-03-26 11:10:00+00:00,cash,5.99
2025-03-26 11:12:00+00:00,cash,4.99
2025-03-26 11:15:00+00:00,cash,5.99
2025-03-26 11:21:00+00:00,cash,6.99
2025-03-26 11:24:00+00:00,cash,5.99
2025-03-26 11:27:00+00:00,cash,6.99
2025-03-26 11:29:00+00:00,cash,4.99
2025-03-26 11:34:00+00:00,cash,6.99
2025-03-26 11:42:00+00:00,cash,6.99
2025-03-26 11:45:00+00:00,cash,5.99
2025-03-26 11:47:00+00:00,cash,5.99
2025-03-26 11:50:00+00:00,cash,4.99
2025-03-26 11:53:00+00:00,cash,5.99
2025-03-26 11:59:00+00:00,cash,5.99
