timestamp,type,total
2025-03-25 12:01:00+00:00,card,700
2025-03-25 12:01:00+00:00,cash,9.9
2025-03-25 12:08:00+00:00,card,7
2025-03-25 12:16:00+00:00,card,7
2025-03-25 12:24:00+00:00,card,7
2025-03-25 12:27:00+00:00,card,7
2025-03-25 12:27:00+00:00,cash,7
2025-03-25 12:27:00+00:00,cash,8.6
2025-03-25 12:30:00+00:00,card,7
2025-03-25 12:38:00+00:00,card,7
2025-03-25 12:42:00+00:00,card,7
2025-03-25 12:46:00+00:00,cash,7
2025-03-25 12:54:00+00:00,card,
2025-03-25 12:54:00+00:00,card,9.8
2025-03-25 12:54:00+00:00,card,7
2025-03-25 12:59:00+00:00,card,10.0
2025-03-25 13:01:00+00:00,card,0
2025-03-25 13:03:00+00:00,card,blank
2025-03-25 13:08:00+00:00,cash,8.1
2025-03-25 13:12:00+00:00,card,7
2025-03-25 13:14:00+00:00,card,7
2025-03-25 13:21:00+00:00,card,7
2025-03-25 13:21:00+00:00,card,7
2025-03-25 13:22:00+00:00,card,700
2025-03-25 13:24:00+00:00,card,7
2025-03-25 13:25:00+00:00,card,7
2025-03-25 13:29:00+00:00,cash,7
2025-03-25 13:34:00+00:00,card,9.6
2025-03-25 13:38:00+00:00,card,7
2025-03-25 13:43:00+00:00,card,7
2025-03-25 13:46:00+00:00,card,8.8
2025-03-25 13:53:00+00:00,card,8.2
2025-03-25 13:55:00+00:00,cash,7
2025-03-25 13:58:00+00:00,card,10.3
2025-03-25 14:04:00+00:00,card,0
2025-03-25 14:05:00+00:00,card,7
2025-03-25 14:12:00+00:00,card,8.2
2025-03-25 14:15:00+00:00,card,9.4
2025-03-25 14:18:00+00:00,cash,7
2025-03-25 14:22:00+00:00,card,10.2
2025-03-25 14:25:00+00:00,card,8.6
2025-03-25 14:28:00+00:00,card,7
2025-03-25 14:35:00+00:00,card,7
2025-03-25 14:38:00+00:00,card,7
2025-03-25 14:42:00+00:00,card,7
2025-03-25 14:45:00+00:00,card,7
2025-03-25 14:50:00+00:00,card,7
2025-03-25 14:53:00+00:00,cash,7
2025-03-25 14:55:00+00:00,cash,VOID
2025-03-25 14:55:00+00:00,card,10.6
2025-03-25 14:58:00+00:00,cash,7
