timestamp,type,total
2025-03-24 15:13:00+00:00,cash,NULL
2025-03-24 15:25:00+00:00,card,9.6
2025-03-24 15:33:00+00:00,cash,7
2025-03-24 15:36:00+00:00,card,7
2025-03-24 15:39:00+00:00,card,VOID
2025-03-24 15:48:00+00:00,card,9.0
2025-03-24 15:50:00+00:00,card,7
2025-03-24 16:01:00+00:00,card,8.2
2025-03-24 16:10:00+00:00,cash,7
2025-03-24 16:18:00+00:00,card,700
2025-03-24 16:31:00+00:00,cash,7
2025-03-24 16:35:00+00:00,cash,7
2025-03-24 16:45:00+00:00,cash,700
2025-03-24 16:56:00+00:00,cash,7
2025-03-24 16:59:00+00:00,card,9.8
2025-03-24 17:10:00+00:00,card,7
2025-03-24 17:15:00+00:00,card,7
2025-03-24 17:18:00+00:00,card,7
2025-03-24 17:29:00+00:00,card,NULL
2025-03-24 17:36:00+00:00,card,7
2025-03-24 17:46:00+00:00,cash,7
2025-03-24 17:56:00+00:00,card,7
