timestamp,type,total
2025-03-24 15:00:00+00:00,cash,5
2025-03-24 15:01:00+00:00,card,9.4
2025-03-24 15:01:00+00:00,card,5
2025-03-24 15:01:00+00:00,card,5
2025-03-24 15:01:00+00:00,cash,5
2025-03-24 15:02:00+00:00,card,5
2025-03-24 15:03:00+00:00,cash,5
2025-03-24 15:03:00+00:00,cash,5
2025-03-24 15:03:00+00:00,card,5
2025-03-24 15:04:00+00:00,cash,8.9
2025-03-24 15:05:00+00:00,card,5
2025-03-24 15:05:00+00:00,card,5
2025-03-24 15:06:00+00:00,cash,5
2025-03-24 15:06:00+00:00,cash,5
2025-03-24 15:06:00+00:00,cash,5
2025-03-24 15:06:00+00:00,cash,5
2025-03-24 15:07:00+00:00,cash,5
2025-03-24 15:08:00+00:00,card,10.7
2025-03-24 15:09:00+00:00,card,5
2025-03-24 15:09:00+00:00,cash,5
2025-03-24 15:09:00+00:00,card,5
2025-03-24 15:09:00+00:00,cash,5
2025-03-24 15:10:00+00:00,cash,5
2025-03-24 15:11:00+00:00,card,5
2025-03-24 15:11:00+00:00,cash,5
2025-03-24 15:12:00+00:00,cash,5
2025-03-24 15:13:00+00:00,cash,5
2025-03-24 15:13:00+00:00,cash,5
2025-03-24 15:14:00+00:00,cash,5
2025-03-24 15:15:00+00:00,cash,5
2025-03-24 15:15:00+00:00,cash,5
2025-03-24 15:15:00+00:00,cash,5
2025-03-24 15:15:00+00:00,card,5
2025-03-24 15:16:00+00:00,cash,5
2025-03-24 15:17:00+00:00,card,5
2025-03-24 15:18:00+00:00,card,5
2025-03-24 15:19:00+00:00,cash,5
2025-03-24 15:19:00+00:00,card,5
2025-03-24 15:20:00+00:00,card,5
2025-03-24 15:21:00+00:00,card,5
2025-03-24 15:22:00+00:00,cash,5
2025-03-24 15:22:00+00:00,cash,5
2025-03-24 15:23:00+00:00,card,500
2025-03-24 15:23:00+00:00,card,5
2025-03-24 15:24:00+00:00,cash,5
2025-03-24 15:25:00+00:00,cash,5
2025-03-24 15:26:00+00:00,cash,5
2025-03-24 15:27:00+00:00,card,5
2025-03-24 15:28:00+00:00,cash,5
2025-03-24 15:29:00+00:00,card,5
2025-03-24 15:30:00+00:00,cash,5
2025-03-24 15:31:00+00:00,card,10.7
2025-03-24 15:32:00+00:00,card,5
2025-03-24 15:33:00+00:00,cash,5
2025-03-24 15:34:00+00:00,cash,5
2025-03-24 15:34:00+00:00,card,5
2025-03-24 15:34:00+00:00,card,5
2025-03-24 15:34:00+00:00,card,500
2025-03-24 15:35:00+00:00,cash,5
2025-03-24 15:35:00+00:00,cash,
2025-03-24 15:35:00+00:00,cash,5
2025-03-24 15:35:00+00:00,cash,5
2025-03-24 15:36:00+00:00,cash,5
2025-03-24 15:36:00+00:00,cash,5
2025-03-24 15:37:00+00:00,card,5
2025-03-24 15:37:00+00:00,card,5
2025-03-24 15:38:00+00:00,card,8.0
2025-03-24 15:38:00+00:00,cash,10.3
2025-03-24 15:39:00+00:00,card,5
