timestamp,type,total
2025-03-25 09:06:00+00:00,card,1299.0
2025-03-25 09:11:00+00:00,card,299.0
2025-03-25 09:21:00+00:00,card,7.99
2025-03-25 09:26:00+00:00,cash,12.99
2025-03-25 09:34:00+00:00,cash,2.99
2025-03-25 09:43:00+00:00,cash,4.99
2025-03-25 09:47:00+00:00,card,12.99
2025-03-25 09:52:00+00:00,cash,1.99
2025-03-25 10:01:00+00:00,card,1.99
2025-03-25 10:05:00+00:00,cash,7.99
2025-03-25 10:09:00+00:00,cash,7.99
2025-03-25 10:19:00+00:00,card,2.99
2025-03-25 10:28:00+00:00,cash,blank
2025-03-25 10:34:00+00:00,card,7.99
2025-03-25 10:38:00+00:00,card,1.99
2025-03-25 10:42:00+00:00,cash,4.99
2025-03-25 10:48:00+00:00,cash,4.99
2025-03-25 10:58:00+00:00,card,4.99
2025-03-25 11:01:00+00:00,cash,4.99
2025-03-25 11:02:00+00:00,cash,12.99
2025-03-25 11:02:00+00:00,card,7.99
2025-03-25 11:03:00+00:00,cash,2.99
2025-03-25 11:04:00+00:00,cash,2.99
2025-03-25 11:04:00+00:00,cash,199.0
2025-03-25 11:04:00+00:00,card,1.99
2025-03-25 11:05:00+00:00,card,7.99
2025-03-25 11:06:00+00:00,card,2.99
2025-03-25 11:06:00+00:00,cash,4.99
2025-03-25 11:06:00+00:00,cash,1.99
2025-03-25 11:07:00+00:00,cash,7.99
2025-03-25 11:08:00+00:00,card,7.99
2025-03-25 11:09:00+00:00,cash,4.99
2025-03-25 11:09:00+00:00,cash,7.99
2025-03-25 11:10:00+00:00,cash,4.99
2025-03-25 11:11:00+00:00,card,4.99
2025-03-25 11:12:00+00:00,cash,199.0
2025-03-25 11:13:00+00:00,card,4.99
2025-03-25 11:13:00+00:00,cash,4.99
2025-03-25 11:13:00+00:00,cash,2.99
2025-03-25 11:13:00+00:00,card,7.99
2025-03-25 11:13:00+00:00,cash,2.99
2025-03-25 11:14:00+00:00,cash,4.99
2025-03-25 11:15:00+00:00,cash,7.99
2025-03-25 11:15:00+00:00,cash,2.99
2025-03-25 11:15:00+00:00,card,7.99
2025-03-25 11:16:00+00:00,card,7.99
2025-03-25 11:17:00+00:00,cash,4.99
2025-03-25 11:18:00+00:00,card,
2025-03-25 11:19:00+00:00,cash,7.99
2025-03-25 11:19:00+00:00,cash,2.99
2025-03-25 11:20:00+00:00,cash,7.99
2025-03-25 11:20:00+00:00,card,7.99
2025-03-25 11:21:00+00:00,cash,-7.99
2025-03-25 11:21:00+00:00,card,blank
2025-03-25 11:21:00+00:00,card,4.99
2025-03-25 11:22:00+00:00,card,7.99
2025-03-25 11:22:00+00:00,card,7.99
2025-03-25 11:23:00+00:00,cash,NULL
2025-03-25 11:23:00+00:00,cash,0
2025-03-25 11:23:00+00:00,card,7.99
2025-03-25 11:23:00+00:00,cash,4.99
2025-03-25 11:24:00+00:00,cash,4.99
2025-03-25 11:25:00+00:00,card,4.99
2025-03-25 11:26:00+00:00,card,7.99
2025-03-25 11:27:00+00:00,cash,7.99
2025-03-25 11:28:00+00:00,card,
2025-03-25 11:29:00+00:00,cash,12.99
2025-03-25 11:29:00+00:00,card,2.99
2025-03-25 11:30:00+00:00,cash,4.99
2025-03-25 11:31:00+00:00,card,1.99
2025-03-25 11:31:00+00:00,card,2.99
2025-03-25 11:32:00+00:00,card,4.99
2025-03-25 11:33:00+00:00,card,4.99
2025-03-25 11:33:00+00:00,cash,2.99
2025-03-25 11:34:00+00:00,card,2.99
2025-03-25 11:35:00+00:00,cash,7.99
2025-03-25 11:36:00+00:00,card,2.99
2025-03-25 11:36:00+00:00,card,4.99
2025-03-25 11:36:00+00:00,card,2.99
2025-03-25 11:36:00+00:00,cash,
2025-03-25 11:36:00+00:00,card,7.99
2025-03-25 11:37:00+00:00,card,2.99
2025-03-25 11:38:00+00:00,card,4.99
2025-03-25 11:38:00+00:00,card,2.99
2025-03-25 11:39:00+00:00,card,12.99
2025-03-25 11:40:00+00:00,card,
2025-03-25 11:41:00+00:00,cash,7.99
2025-03-25 11:42:00+00:00,cash,4.99
2025-03-25 11:43:00+00:00,card,-12.99
2025-03-25 11:43:00+00:00,cash,4.99
2025-03-25 11:44:00+00:00,cash,12.99
2025-03-25 11:45:00+00:00,cash,4.99
2025-03-25 11:45:00+00:00,card,4.99
2025-03-25 11:46:00+00:00,card,4.99
2025-03-25 11:47:00+00:00,cash,-7.99
2025-03-25 11:48:00+00:00,card,12.99
2025-03-25 11:48:00+00:00,card,12.99
2025-03-25 11:48:00+00:00,card,7.99
2025-03-25 11:48:00+00:00,card,7.99
2025-03-25 11:48:00+00:00,cash,7.99
2025-03-25 11:49:00+00:00,cash,1.99
2025-03-25 11:50:00+00:00,cash,7.99
2025-03-25 11:51:00+00:00,card,4.99
2025-03-25 11:51:00+00:00,cash,199.0
2025-03-25 11:52:00+00:00,cash,12.99
2025-03-25 11:53:00+00:00,card,2.99
2025-03-25 11:53:00+00:00,cash,2.99
2025-03-25 11:53:00+00:00,cash,4.99
2025-03-25 11:54:00+00:00,card,2.99
2025-03-25 11:55:00+00:00,card,1299.0
2025-03-25 11:56:00+00:00,cash,12.99
2025-03-25 11:57:00+00:00,cash,7.99
2025-03-25 11:57:00+00:00,cash,7.99
2025-03-25 11:58:00+00:00,card,2.99
2025-03-25 11:58:00+00:00,card,4.99
2025-03-25 11:58:00+00:00,card,2.99
2025-03-25 11:59:00+00:00,card,4.99
2025-03-25 11:59:00+00:00,cash,0
