timestamp,type,total
2025-03-25 09:17:00+00:00,card,5
2025-03-25 09:24:00+00:00,card,500
2025-03-25 09:31:00+00:00,card,5
2025-03-25 09:45:00+00:00,card,5
2025-03-25 09:58:00+00:00,card,5
2025-03-25 10:12:00+00:00,card,500
2025-03-25 10:26:00+00:00,cash,5
2025-03-25 10:34:00+00:00,card,5
2025-03-25 10:59:00+00:00,card,5
2025-03-25 11:09:00+00:00,card,5
2025-03-25 11:20:00+00:00,card,5
2025-03-25 11:31:00+00:00,card,0.00
2025-03-25 11:36:00+00:00,cash,ERR
2025-03-25 11:40:00+00:00,cash,9.5
2025-03-25 11:52:00+00:00,cash,5
2025-03-25 11:55:00+00:00,cash,500
