timestamp,type,total,truck_id
2025-03-24 18:17:00,card,5.0,5
2025-03-24 18:44:00,card,5.0,5
2025-03-24 18:50:00,cash,5.0,5
2025-03-24 18:05:00,cash,7.0,1
2025-03-24 18:09:00,card,7.0,1
2025-03-24 18:13:00,card,7.0,1
2025-03-24 18:21:00,card,9.7,1
2025-03-24 18:31:00,card,7.0,1
2025-03-24 18:40:00,cash,10.3,1
2025-03-24 18:44:00,card,8.7,1
2025-03-24 18:51:00,card,7.0,1
2025-03-24 18:16:00,cash,0.99,4
2025-03-24 18:32:00,card,4.99,4
2025-03-24 18:44:00,cash,4.99,4
2025-03-24 18:04:00,cash,8.5,2
2025-03-24 18:08:00,card,7.0,2
2025-03-24 18:12:00,card,8.7,2
2025-03-24 18:20:00,cash,7.0,2
2025-03-24 18:24:00,card,8.3,2
2025-03-24 18:29:00,card,7.0,2
2025-03-24 18:34:00,card,8.1,2
2025-03-24 18:39:00,cash,8.8,2
2025-03-24 18:43:00,card,8.2,2
2025-03-24 18:47:00,card,8.3,2
2025-03-24 18:52:00,card,8.6,2
2025-03-24 18:59:00,card,7.0,2
2025-03-24 19:02:00,cash,8.7,2
2025-03-24 19:04:00,cash,7.0,2
2025-03-24 19:09:00,card,8.9,2
2025-03-24 19:11:00,cash,8.8,2
2025-03-24 19:11:00,cash,8.7,2
2025-03-24 19:12:00,cash,7.0,2
2025-03-24 19:14:00,cash,8.2,2
2025-03-24 19:16:00,card,8.1,2
2025-03-24 19:16:00,cash,7.0,2
2025-03-24 19:19:00,card,8.4,2
2025-03-24 19:22:00,cash,7.0,2
2025-03-24 19:25:00,card,8.2,2
2025-03-24 19:25:00,card,7.0,2
2025-03-24 19:28:00,cash,8.3,2
2025-03-24 19:28:00,cash,8.6,2
2025-03-24 19:31:00,card,8.2,2
2025-03-24 19:33:00,card,8.8,2
2025-03-24 19:33:00,cash,8.2,2
2025-03-24 19:35:00,card,9.0,2
2025-03-24 19:37:00,cash,7.0,2
2025-03-24 19:38:00,card,8.2,2
2025-03-24 19:39:00,cash,7.0,2
2025-03-24 19:39:00,card,8.7,2
2025-03-24 19:42:00,cash,8.2,2
2025-03-24 19:42:00,cash,8.7,2
2025-03-24 19:44:00,cash,8.7,2
2025-03-24 19:50:00,card,8.7,2
2025-03-24 19:52:00,card,8.7,2
2025-03-24 19:53:00,card,8.3,2
2025-03-24 19:55:00,card,8.8,2
2025-03-24 19:57:00,cash,8.1,2
2025-03-24 19:59:00,cash,8.4,2
2025-03-24 19:59:00,cash,8.6,2
2025-03-24 20:02:00,cash,8.9,2
2025-03-24 20:06:00,cash,8.5,2
2025-03-24 20:10:00,card,8.9,2
2025-03-24 20:14:00,cash,7.0,2
2025-03-24 20:16:00,card,8.3,2
2025-03-24 20:20:00,card,8.1,2
2025-03-24 20:22:00,card,8.3,2
2025-03-24 20:25:00,cash,7.0,2
2025-03-24 20:30:00,card,7.0,2
2025-03-24 20:30:00,cash,8.8,2
2025-03-24 20:32:00,cash,8.5,2
2025-03-24 20:32:00,cash,8.6,2
2025-03-24 20:36:00,card,7.0,2
2025-03-24 20:40:00,cash,8.2,2
2025-03-24 20:41:00,card,7.0,2
2025-03-24 20:42:00,card,8.0,2
2025-03-24 20:44:00,cash,9.0,2
2025-03-24 20:44:00,cash,8.4,2
2025-03-24 20:44:00,card,8.9,2
2025-03-24 20:48:00,card,9.0,2
2025-03-24 20:48:00,card,8.7,2
2025-03-24 20:51:00,cash,8.5,2
2025-03-24 20:52:00,card,7.0,2
2025-03-24 20:56:00,card,8.0,2
2025-03-24 20:59:00,cash,8.3,2
