timestamp,type,total
2025-03-24 09:14:00+00:00,cash,5
2025-03-24 09:20:00+00:00,cash,5
2025-03-24 09:34:00+00:00,cash,-5
2025-03-24 09:49:00+00:00,card,5
2025-03-24 10:03:00+00:00,cash,5
2025-03-24 10:15:00+00:00,cash,5
2025-03-24 10:34:00+00:00,card,blank
2025-03-24 10:48:00+00:00,card,5
2025-03-24 11:02:00+00:00,cash,5
2025-03-24 11:08:00+00:00,cash,5
2025-03-24 11:13:00+00:00,card,5
2025-03-24 11:21:00+00:00,cash,5
2025-03-24 11:25:00+00:00,card,5
2025-03-24 11:31:00+00:00,card,5
2025-03-24 11:34:00+00:00,card,500
2025-03-24 11:38:00+00:00,cash,5
2025-03-24 11:46:00+00:00,cash,5
2025-03-24 11:53:00+00:00,card,5
2025-03-24 11:57:00+00:00,cash,5
